token,liquidity,volume_24h,change_5m,change_15m,change_1h,change_6h,change_24h
USDT / WBNB 0.01%,9241859.0282,38567281.9633446,-0.11%,-0.14%,0.19%,0.19%,-0.18%
wkeyDAO / USDT,44587507.9259,11314409.3961382,-0.29%,-0.55%,0.52%,-0.81%,-0.75%
USDT / WBNB,15801739.7779,4061738.79913781,0.50%,0.49%,0.55%,-0.05%,-0.01%
USDT / WBNB 0.05%,54073916.8751,19642288.3078393,-0.19%,-0.11%,0.19%,0.18%,-0.22%
SKYAI / WBNB,3350029.0371,19482857.9819892,-1.18%,-1.42%,5.91%,-0.52%,30.77%
USDT / WBNB 0.01%,899840.1298,2003374.13759692,-0.11%,-0.14%,0.15%,0.18%,-0.15%
USDC / WBNB 0.01%,1444763.534,4809553.5668358,-0.12%,-0.15%,0.17%,0.18%,-0.16%
Broccoli / WBNB 1%,3649863.5832,13793504.4781249,-0.01%,1.33%,-0.26%,4.82%,-16.86%
BANK / WBNB 1%,2804576.6468,1649631.16911578,2.02%,-0.16%,0.77%,-5.28%,-3.12%
BIAO / WBNB 0.01%,201740.123,2055931.46751321,0.00%,-0.34%,-1.49%,-2.72%,-8.17%
USDT / BTCB 0.01%,1392249.9192,3950773.05865704,-0.16%,-0.19%,0.22%,0.20%,-0.19%
RWA / USDT,20821546.0436,3933750.60633001,-0.17%,0.10%,0.62%,0.27%,-1.04%
ETH / WBNB 0.01%,362340.7117,1068845.31077857,-0.06%,-0.21%,0.17%,2.16%,2.58%
NVB / USDT,15944384.7751,3022461.28965147,-0.18%,-0.66%,0.05%,-0.48%,-0.80%
